Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Competitors,Average Salary,Average Revenue,Processed_JD
Agile Project Manager,4.5,Bank Mandiri,Kotamobagu,Surabaya,10001+ employees,2008,Company - Government,Banking,Finance,"Bank Central Asia (BCA), Bank Rakyat Indonesia (BRI), Bank Negara Indonesia (BNI)",6427,79344,"We need an Agile Project Manager with skills in Scrum, Leadership, Project Management. Main tasks: Facilitate agile processes, Collaborate with agile teams, Ensure project delivery."
Reinforcement Learning Specialist,2.5,Indosat Ooredoo,Kediri,Surabaya,10001+ employees,2012,Company - Cooperative,Telecommunications,Telecommunications,"XL Axiata, Telekomunikasi Selular (Telkomsel), PT Telkom Indonesia",7233,85718,"Join our team as a Reinforcement Learning Specialist. Skills required: Machine Learning, Reinforcement Learning, TensorFlow. Responsibilities: Conduct experiments, Collaborate with data scientists, Optimize RL algorithms."
Deep Learning Engineer,4.5,PLN (Perusahaan Listrik Negara),Tarakan,Jakarta,5001 to 10000 employees,2002,Company - Subsidiary,Energy,Energy,"Bumi Resources, Pertamina",3925,75785,"Hiring a Deep Learning Engineer experienced with Deep Learning, Keras, Python. You will be responsible for Work with TensorFlow and Keras, Develop deep learning models, Deploy DL solutions."
Data Mining Engineer,3.9,Indomaret,Bandar Lampung,Surabaya,10001+ employees,1992,Company - Sole Proprietorship,Retail,Retail,"Alfamart, Matahari Department Store",3257,61964,"Seeking a Data Mining Engineer proficient in Python, Data Mining, Algorithms. Responsibilities include Analyze large datasets, Develop data mining models, Work with data scientists."
Research Scientist,2.6,Lippo Group,Bau-Bau,Padang,1001 to 5000 employees,2003,Company - Corporation (C Corp),Conglomerate,Conglomerate,Sinar Mas Group,5249,81686,"Join us as a Research Scientist. Required skills: Statistics, R, Python. Duties: Publish research findings, Conduct research and experiments, Develop new methodologies."
Business Intelligence Analyst,4.9,Pertamina,Depok,Jakarta,10001+ employees,2001,Company - Sole Proprietorship,Oil and Gas,Energy,"Bumi Resources, PLN (Perusahaan Listrik Negara)",1696,23298,"We need a Business Intelligence Analyst with skills in Dashboarding, SQL, Analytics. Main tasks: Provide actionable insights, Work with business stakeholders, Develop BI solutions."
Machine Learning Engineer,4.8,Bank Rakyat Indonesia (BRI),Bandung,Padang,10001+ employees,2009,Company - Subsidiary,Banking,Finance,"Bank Mandiri, Bank Negara Indonesia (BNI), Bank Central Asia (BCA)",2761,41943,"Join our team as a Machine Learning Engineer. Skills required: Scikit-Learn, Deep Learning, Python. Responsibilities: Optimize ML algorithms, Collaborate with data scientists, Develop machine learning models."
Agile Project Manager,4.9,Indomaret,Sorong,Surabaya,10001+ employees,1992,Company - Sole Proprietorship,Retail,Retail,"Alfamart, Matahari Department Store",3796,61964,"We need an Agile Project Manager with skills in Agile, Communication, Project Management. Main tasks: Communicate with stakeholders, Manage agile projects, Ensure project delivery."
Program Manager,2.6,Matahari Department Store,Sawah Lunto,Padang,5001 to 10000 employees,2000,Company - Limited Partnership (LP),Retail,Retail,"Alfamart, Indomaret",3706,49073,"Join us as a Program Manager. Required skills: Leadership, Program Management, Scrum. Duties: Manage programs, Manage program budgets, Coordinate multiple projects."
Scrum Master,2.8,Bank Central Asia (BCA),Pekanbaru,Jakarta,5001 to 10000 employees,2006,Company - Government,Banking,Finance,"Bank Rakyat Indonesia (BRI), Bank Negara Indonesia (BNI), Bank Mandiri",2019,31814,"We are looking for a Scrum Master skilled in Agile, Project Management, Team Collaboration. Responsibilities include Remove obstacles, Ensure team productivity, Communicate with stakeholders."
Full-stack Developer,3.1,Matahari Department Store,Malang,Padang,5001 to 10000 employees,2000,Company - Limited Partnership (LP),Retail,Retail,"Indomaret, Alfamart",2880,49073,"We need a Full-stack Developer with skills in React, Node.js, JavaScript. Main tasks: Collaborate with designers and developers, Optimize full-stack applications, Work with HTML, CSS, JavaScript, and server-side languages."
Product Manager,3.4,Alfamart,Semarang,Yogyakarta,5001 to 10000 employees,2009,Company - Cooperative,Retail,Retail,"Indomaret, Matahari Department Store",4622,69897,"Hiring a Product Manager experienced with Scrum, Agile, Product Management. You will be responsible for Work with cross-functional teams, Define product vision, Communicate with stakeholders."
IT Project Manager,4.6,Kalbe Farma,Madiun,Jakarta,10001+ employees,2008,Company - S Corporation (S Corp),Pharmaceuticals,Healthcare,,3645,67133,"Join our team as an IT Project Manager. Skills required: Technical Background, Leadership, Agile. Responsibilities: Manage project budgets, Work with IT teams, Ensure project success."
Machine Learning Engineer,2.8,Djarum,Pangkal Pinang,Padang,10001+ employees,2007,Company - Corporation (C Corp),Tobacco,Consumer Goods,"Indofood, Unilever Indonesia, Sampoerna",2794,52425,"Join our team as a Machine Learning Engineer. Skills required: Scikit-Learn, Python, Deep Learning. Responsibilities: Develop machine learning models, Optimize ML algorithms, Collaborate with data scientists."
Brand Designer,3.3,Kalbe Farma,Mataram,Jakarta,10001+ employees,2008,Company - S Corporation (S Corp),Pharmaceuticals,Healthcare,,3472,67133,"Hiring a Brand Designer proficient in Visual Design, Creativity, Brand Strategy. Responsibilities: Ensure brand consistency, Develop branding materials, Work with design tools."
Deep Learning Engineer,2.7,GoJek,Manado,Jakarta,10001+ employees,2012,Company - Subsidiary,E-commerce,Technology,"Bukalapak, Tokopedia, Traveloka",2140,42110,"Hiring a Deep Learning Engineer experienced with Neural Networks, TensorFlow, Keras. You will be responsible for Deploy DL solutions, Work with TensorFlow and Keras, Develop deep learning models."
UI Designer,4.6,Indosat Ooredoo,Surabaya,Surabaya,10001+ employees,2012,Company - Cooperative,Telecommunications,Telecommunications,"Telekomunikasi Selular (Telkomsel), PT Telkom Indonesia, XL Axiata",4450,85718,"Hiring a UI Designer experienced with Sketch, Prototyping, Adobe XD. Responsibilities: Work with design tools, Create prototypes, Collaborate with developers."
Interaction Designer,5.0,Gudang Garam,Tanjungbalai,Medan,1001 to 5000 employees,2000,Company - Limited Liability Company (LLC),Tobacco,Consumer Goods,"Unilever Indonesia, Djarum, Sampoerna",3175,49935,"We are looking for an Interaction Designer skilled in Interaction Design, UI Design, User Testing. Responsibilities include Ensure interaction quality, Design interactive experiences, Work with design tools."
IT Project Manager,4.2,Sampoerna,Jakarta,Bandung,10001+ employees,1998,Company - Holding,Tobacco,Consumer Goods,"Unilever Indonesia, Djarum, Indofood",1844,25742,"Join our team as an IT Project Manager. Skills required: Agile, Scrum, Leadership. Responsibilities: Manage project budgets, Ensure project success, Manage IT projects."
Back-end Developer,2.8,PT Telkom Indonesia,Parepare,Medan,5001 to 10000 employees,1993,Company - Sole Proprietorship,Telecommunications,Telecommunications,"Telekomunikasi Selular (Telkomsel), Indosat Ooredoo, XL Axiata",149,2421,"Hiring a Back-end Developer experienced with Python, SQL, APIs. Responsibilities: Ensure application performance, Work with databases, Collaborate with front-end developers."
Technical Project Manager,3.0,Traveloka,Magelang,Surabaya,5001 to 10000 employees,2003,Company - Sole Proprietorship,E-commerce,Technology,"GoJek, Tokopedia, Bukalapak",5084,56985,"Seeking a Technical Project Manager proficient in Technical Background, Project Management, Leadership. Responsibilities include Work with cross-functional teams, Manage technical projects, Manage project timelines."
Data Analyst,4.7,Unilever Indonesia,Pekanbaru,Bandung,1001 to 5000 employees,2000,Company - Corporation (C Corp),Consumer Goods,Consumer Goods,"Indofood, Gudang Garam, Sampoerna",3663,69737,"Seeking a Data Analyst proficient in Tableau, Data Visualization, SQL. Responsibilities include Identify trends and patterns, Support data-driven decision making, Work with SQL and Excel."
Graphic Designer,3.4,Pertamina,Pontianak,Jakarta,10001+ employees,2001,Company - Sole Proprietorship,Oil and Gas,Energy,"Bumi Resources, PLN (Perusahaan Listrik Negara)",1860,23298,"Seeking a Graphic Designer proficient in Illustrator, Creativity, Adobe Photoshop. Responsibilities: Create visual designs, Collaborate with marketing teams, Work with design tools."
Agile Project Manager,3.3,Garuda Indonesia,Pagar Alam,Jakarta,1001 to 5000 employees,1991,Company - Professional Corporation (PC),Airlines,Transportation,"Blue Bird Group, Astra International",4041,67312,"We need an Agile Project Manager with skills in Project Management, Leadership, Communication. Main tasks: Communicate with stakeholders, Facilitate agile processes, Collaborate with agile teams."
IT Project Manager,2.8,PT Telkom Indonesia,Balikpapan,Medan,5001 to 10000 employees,1993,Company - Sole Proprietorship,Telecommunications,Telecommunications,"Telekomunikasi Selular (Telkomsel), Indosat Ooredoo, XL Axiata",211,2421,"Join our team as an IT Project Manager. Skills required: Leadership, Agile, Technical Background. Responsibilities: Manage IT projects, Ensure project success, Communicate with stakeholders."
Big Data Specialist,3.1,Pertamina,Bengkulu,Jakarta,10001+ employees,2001,Company - Sole Proprietorship,Oil and Gas,Energy,"PLN (Perusahaan Listrik Negara), Bumi Resources",1838,23298,"We are looking for a Big Data Specialist skilled in Spark, Python, Hadoop. Responsibilities include Manage and analyze large datasets, Collaborate with data engineers, Develop big data solutions."
Research Scientist,3.8,GoJek,Tidore Kepulauan,Jakarta,10001+ employees,2012,Company - Subsidiary,E-commerce,Technology,"Tokopedia, Traveloka, Bukalapak",3678,42110,"Join us as a Research Scientist. Required skills: Statistics, Python, R. Duties: Publish research findings, Develop new methodologies, Analyze experimental data."
Interaction Designer,4.2,Matahari Department Store,Padang Panjang,Padang,5001 to 10000 employees,2000,Company - Limited Partnership (LP),Retail,Retail,"Alfamart, Indomaret",3991,49073,"We are looking for an Interaction Designer skilled in User Testing, Adobe XD, Interaction Design. Responsibilities include Create prototypes, Ensure interaction quality, Work with design tools."
Data Scientist,2.6,Telekomunikasi Selular (Telkomsel),Tomohon,Yogyakarta,5001 to 10000 employees,1997,Company - Public,Telecommunications,Telecommunications,"Indosat Ooredoo, PT Telkom Indonesia, XL Axiata",3497,66317,"We are looking for a Data Scientist to join our team. Requirements: Experience in SQL, Machine Learning, R. Responsibilities: Develop predictive models, Communicate findings to stakeholders, Collaborate with cross-functional teams."
Technical Project Manager,3.8,Sinar Mas Group,Denpasar,Bandung,10001+ employees,1995,Company - Public,Conglomerate,Conglomerate,Lippo Group,1529,28105,"Seeking a Technical Project Manager proficient in Leadership, Technical Background, Agile. Responsibilities include Work with cross-functional teams, Manage technical projects, Communicate with stakeholders."
Agile Project Manager,4.9,Astra International,Palangka Raya,Padang,1001 to 5000 employees,2002,Company - Government,Automotive,Transportation,"Garuda Indonesia, Blue Bird Group",2039,27435,"We need an Agile Project Manager with skills in Scrum, Project Management, Leadership. Main tasks: Manage agile projects, Ensure project delivery, Communicate with stakeholders."
Web Developer,3.8,Indofood,Depok,Yogyakarta,10001+ employees,1991,Company - Professional Corporation (PC),Food and Beverage,Consumer Goods,"Djarum, Sampoerna, Gudang Garam",2461,41264,"We need a Web Developer proficient in CSS, HTML, JavaScript. Responsibilities: Work with HTML, CSS, and JavaScript, Develop and maintain websites, Collaborate with designers."
UI/UX Developer,5.0,Astra International,Bandung,Padang,1001 to 5000 employees,2002,Company - Government,Automotive,Transportation,"Garuda Indonesia, Blue Bird Group",1993,27435,"Join us as a UI/UX Developer. Required skills: UI Design, UX Research, Adobe XD. Duties: Conduct user research, Design user interfaces and experiences, Create prototypes."
UX Designer,4.0,GoJek,Ternate,Jakarta,10001+ employees,2012,Company - Subsidiary,E-commerce,Technology,"Traveloka, Bukalapak, Tokopedia",3587,42110,"We need a UX Designer with skills in Wireframing, Adobe XD, UX Research. Main tasks: Collaborate with developers, Create wireframes and prototypes, Ensure usability."
Motion Graphics Designer,4.5,Matahari Department Store,Jambi,Padang,5001 to 10000 employees,2000,Company - Limited Partnership (LP),Retail,Retail,"Alfamart, Indomaret",4118,49073,"Join us as a Motion Graphics Designer. Required skills: Animation, After Effects, Cinema 4D. Duties: Work with animation tools, Collaborate with video production teams, Ensure animation quality."
UI/UX Developer,4.3,Bank Negara Indonesia (BNI),Cimahi,Jakarta,10001+ employees,1995,Company - Public,Banking,Finance,"Bank Mandiri, Bank Central Asia (BCA), Bank Rakyat Indonesia (BRI)",7006,86365,"Join us as a UI/UX Developer. Required skills: Prototyping, Sketch, Adobe XD. Duties: Create prototypes, Design user interfaces and experiences, Work with design tools."
Robotics Engineer,4.5,GoJek,Kupang,Jakarta,10001+ employees,2012,Company - Subsidiary,E-commerce,Technology,"Bukalapak, Tokopedia, Traveloka",2579,42110,"Seeking a Robotics Engineer proficient in Robotics, Control Systems, ROS. Responsibilities include Test and optimize robotics algorithms, Work with control systems, Collaborate with other engineers."
Motion Graphics Designer,2.6,GoJek,Bogor,Jakarta,10001+ employees,2012,Company - Subsidiary,E-commerce,Technology,"Tokopedia, Bukalapak, Traveloka",3763,42110,"Join us as a Motion Graphics Designer. Required skills: Animation, Cinema 4D, Creativity. Duties: Collaborate with video production teams, Ensure animation quality, Create motion graphics."
Agile Project Manager,3.1,GoJek,Denpasar,Jakarta,10001+ employees,2012,Company - Subsidiary,E-commerce,Technology,"Traveloka, Bukalapak, Tokopedia",3767,42110,"We need an Agile Project Manager with skills in Leadership, Project Management, Scrum. Main tasks: Ensure project delivery, Collaborate with agile teams, Facilitate agile processes."
NLP Engineer (Natural Language Processing),3.8,Bank Negara Indonesia (BNI),Kendari,Jakarta,10001+ employees,1995,Company - Public,Banking,Finance,"Bank Mandiri, Bank Central Asia (BCA), Bank Rakyat Indonesia (BRI)",6981,86365,"Join us as an NLP Engineer. Required skills: NLTK, Python, SpaCy. Duties: Deploy NLP solutions, Use NLP libraries, Work with text data."
Web Application Developer,3.0,Bumi Resources,Banda Aceh,Medan,1001 to 5000 employees,2001,Company - Holding,Mining,Energy,"Pertamina, PLN (Perusahaan Listrik Negara)",4371,55999,"We are looking for a Web Application Developer skilled in CSS, APIs, JavaScript. Responsibilities include Ensure application security, Collaborate with designers, Develop web applications."
Deep Learning Engineer,3.1,Bank Central Asia (BCA),Tangerang,Jakarta,5001 to 10000 employees,2006,Company - Government,Banking,Finance,"Bank Mandiri, Bank Negara Indonesia (BNI), Bank Rakyat Indonesia (BRI)",2808,31814,"Hiring a Deep Learning Engineer experienced with TensorFlow, Neural Networks, Keras. You will be responsible for Work with TensorFlow and Keras, Optimize neural networks, Develop deep learning models."
Program Manager,2.8,Bank Negara Indonesia (BNI),Banjarmasin,Jakarta,10001+ employees,1995,Company - Public,Banking,Finance,"Bank Mandiri, Bank Rakyat Indonesia (BRI), Bank Central Asia (BCA)",6563,86365,"Join us as a Program Manager. Required skills: Program Management, Leadership, Communication. Duties: Communicate with stakeholders, Manage programs, Coordinate multiple projects."
Big Data Specialist,3.6,GoJek,Depok,Jakarta,10001+ employees,2012,Company - Subsidiary,E-commerce,Technology,"Tokopedia, Traveloka, Bukalapak",3485,42110,"We are looking for a Big Data Specialist skilled in Python, Spark, Big Data. Responsibilities include Manage and analyze large datasets, Work with Hadoop and Spark, Collaborate with data engineers."
Computer Vision Engineer,3.7,Kalbe Farma,Palu,Jakarta,10001+ employees,2008,Company - S Corporation (S Corp),Pharmaceuticals,Healthcare,,3581,67133,"We are looking for a Computer Vision Engineer skilled in Computer Vision, Deep Learning, Python. Responsibilities include Work with image data, Collaborate with data scientists, Use OpenCV and TensorFlow."
Technical Project Manager,2.8,Traveloka,Banjar,Surabaya,5001 to 10000 employees,2003,Company - Sole Proprietorship,E-commerce,Technology,"GoJek, Tokopedia, Bukalapak",3525,56985,"Seeking a Technical Project Manager proficient in Leadership, Project Management, Technical Background. Responsibilities include Communicate with stakeholders, Work with cross-functional teams, Manage technical projects."
AI Research Scientist,3.0,Ciputra Development,Pematang Siantar,Medan,10001+ employees,1999,Company - S Corporation (S Corp),Real Estate,Real Estate,,376,5075,"We need an AI Research Scientist with skills in Algorithms, AI, Python. Main tasks: Collaborate with other researchers, Analyze experimental results, Conduct AI research."
Web Application Developer,4.0,Indomaret,Cirebon,Surabaya,10001+ employees,1992,Company - Sole Proprietorship,Retail,Retail,"Matahari Department Store, Alfamart",5081,61964,"We are looking for a Web Application Developer skilled in Web Development, APIs, HTML. Responsibilities include Develop web applications, Optimize web application performance, Collaborate with designers."
AI Research Scientist,4.9,Djarum,Kupang,Padang,10001+ employees,2007,Company - Corporation (C Corp),Tobacco,Consumer Goods,"Gudang Garam, Sampoerna, Indofood",3393,52425,"We need an AI Research Scientist with skills in Algorithms, Python, AI. Main tasks: Develop new AI algorithms, Analyze experimental results, Publish research papers."
Full-stack Developer,4.7,Bank Negara Indonesia (BNI),Padang Sidempuan,Jakarta,10001+ employees,1995,Company - Public,Banking,Finance,"Bank Central Asia (BCA), Bank Mandiri, Bank Rakyat Indonesia (BRI)",6114,86365,"We need a Full-stack Developer with skills in JavaScript, HTML, React. Main tasks: Collaborate with designers and developers, Ensure full-stack performance, Develop both front-end and back-end."
Machine Learning Engineer,3.4,GoJek,Cimahi,Jakarta,10001+ employees,2012,Company - Subsidiary,E-commerce,Technology,"Tokopedia, Bukalapak, Traveloka",2639,42110,"Join our team as a Machine Learning Engineer. Skills required: Scikit-Learn, NLP, TensorFlow. Responsibilities: Optimize ML algorithms, Deploy ML solutions, Develop machine learning models."
Big Data Specialist,2.9,Unilever Indonesia,Sorong,Bandung,1001 to 5000 employees,2000,Company - Corporation (C Corp),Consumer Goods,Consumer Goods,"Sampoerna, Djarum, Indofood",4381,69737,"We are looking for a Big Data Specialist skilled in Hadoop, Spark, NoSQL. Responsibilities include Ensure data scalability, Work with Hadoop and Spark, Develop big data solutions."
Data Analyst,3.6,Gudang Garam,Gunungsitoli,Medan,1001 to 5000 employees,2000,Company - Limited Liability Company (LLC),Tobacco,Consumer Goods,"Indofood, Djarum, Sampoerna",2956,49935,"Seeking a Data Analyst proficient in Power BI, Tableau, Data Visualization. Responsibilities include Create reports and dashboards, Identify trends and patterns, Support data-driven decision making."
UI/UX Developer,2.7,PLN (Perusahaan Listrik Negara),Banda Aceh,Jakarta,5001 to 10000 employees,2002,Company - Subsidiary,Energy,Energy,"Bumi Resources, Pertamina",4240,75785,"Join us as a UI/UX Developer. Required skills: UX Research, UI Design, Prototyping. Duties: Conduct user research, Collaborate with developers, Design user interfaces and experiences."
Research Scientist,2.8,Ciputra Development,Sukabumi,Medan,10001+ employees,1999,Company - S Corporation (S Corp),Real Estate,Real Estate,,339,5075,"Join us as a Research Scientist. Required skills: R, Machine Learning, Statistics. Duties: Publish research findings, Collaborate with other scientists, Analyze experimental data."
UI Designer,4.5,Unilever Indonesia,Surakarta,Bandung,1001 to 5000 employees,2000,Company - Corporation (C Corp),Consumer Goods,Consumer Goods,"Indofood, Sampoerna, Gudang Garam",4464,69737,"Hiring a UI Designer experienced with Prototyping, Sketch, Adobe XD. Responsibilities: Design user interfaces, Work with design tools, Ensure design consistency."
Web Application Developer,2.8,Djarum,Cirebon,Padang,10001+ employees,2007,Company - Corporation (C Corp),Tobacco,Consumer Goods,"Unilever Indonesia, Gudang Garam, Indofood",4422,52425,"We are looking for a Web Application Developer skilled in APIs, CSS, Web Development. Responsibilities include Develop web applications, Optimize web application performance, Collaborate with designers."
NLP Engineer (Natural Language Processing),3.9,Kalbe Farma,Tual,Jakarta,10001+ employees,2008,Company - S Corporation (S Corp),Pharmaceuticals,Healthcare,,5099,67133,"Join us as an NLP Engineer. Required skills: SpaCy, Python, NLP. Duties: Collaborate with linguists, Develop NLP models, Use NLP libraries."
Data Mining Engineer,4.7,XL Axiata,Magelang,Bandung,5001 to 10000 employees,1992,Company - Non-profit,Telecommunications,Telecommunications,"Telekomunikasi Selular (Telkomsel), PT Telkom Indonesia, Indosat Ooredoo",4545,69716,"Seeking a Data Mining Engineer proficient in Algorithms, R, Python. Responsibilities include Work with data scientists, Analyze large datasets, Develop data mining models."
Research Scientist,4.9,XL Axiata,Tanjungbalai,Bandung,5001 to 10000 employees,1992,Company - Non-profit,Telecommunications,Telecommunications,"PT Telkom Indonesia, Telekomunikasi Selular (Telkomsel), Indosat Ooredoo",4754,69716,"Join us as a Research Scientist. Required skills: Machine Learning, Python, R. Duties: Develop new methodologies, Conduct research and experiments, Analyze experimental data."
IT Project Manager,3.1,Gudang Garam,Palu,Medan,1001 to 5000 employees,2000,Company - Limited Liability Company (LLC),Tobacco,Consumer Goods,"Sampoerna, Indofood, Unilever Indonesia",4068,49935,"Join our team as an IT Project Manager. Skills required: Leadership, Technical Background, Scrum. Responsibilities: Work with IT teams, Communicate with stakeholders, Manage IT projects."
UI Designer,5.0,Unilever Indonesia,Bukittinggi,Bandung,1001 to 5000 employees,2000,Company - Corporation (C Corp),Consumer Goods,Consumer Goods,"Gudang Garam, Sampoerna, Djarum",5801,69737,"Hiring a UI Designer experienced with Prototyping, Sketch, Figma. Responsibilities: Ensure design consistency, Work with design tools, Collaborate with developers."
Full-stack Developer,3.7,Sinar Mas Group,Sukabumi,Bandung,10001+ employees,1995,Company - Public,Conglomerate,Conglomerate,Lippo Group,1929,28105,"We need a Full-stack Developer with skills in JavaScript, React, Node.js. Main tasks: Ensure full-stack performance, Optimize full-stack applications, Work with HTML, CSS, JavaScript, and server-side languages."
Scrum Master,3.1,Gudang Garam,Pangkal Pinang,Medan,1001 to 5000 employees,2000,Company - Limited Liability Company (LLC),Tobacco,Consumer Goods,"Djarum, Unilever Indonesia, Indofood",4468,49935,"We are looking for a Scrum Master skilled in Project Management, Agile, Team Collaboration. Responsibilities include Remove obstacles, Facilitate scrum processes, Communicate with stakeholders."
Front-end Developer,4.1,Bank Rakyat Indonesia (BRI),Jayapura,Padang,10001+ employees,2009,Company - Subsidiary,Banking,Finance,"Bank Negara Indonesia (BNI), Bank Central Asia (BCA), Bank Mandiri",2750,41943,"Seeking a Front-end Developer with skills in HTML, Vue.js, JavaScript. Responsibilities: Collaborate with back-end developers, Ensure responsive design, Work with HTML, CSS, and JavaScript."
Research Scientist,3.5,Bumi Resources,Kupang,Medan,1001 to 5000 employees,2001,Company - Holding,Mining,Energy,"PLN (Perusahaan Listrik Negara), Pertamina",3782,55999,"Join us as a Research Scientist. Required skills: R, Statistics, Data Analysis. Duties: Develop new methodologies, Conduct research and experiments, Analyze experimental data."
Big Data Specialist,4.3,Pertamina,Tual,Jakarta,10001+ employees,2001,Company - Sole Proprietorship,Oil and Gas,Energy,"Bumi Resources, PLN (Perusahaan Listrik Negara)",1708,23298,"We are looking for a Big Data Specialist skilled in Big Data, Python, NoSQL. Responsibilities include Ensure data scalability, Work with Hadoop and Spark, Collaborate with data engineers."
Back-end Developer,4.1,Sinar Mas Group,Palopo,Bandung,10001+ employees,1995,Company - Public,Conglomerate,Conglomerate,Lippo Group,1431,28105,"Hiring a Back-end Developer experienced with Java, Python, SQL. Responsibilities: Collaborate with front-end developers, Work with databases, Optimize server-side code."
Technical Project Manager,4.0,Lippo Group,Pasuruan,Padang,1001 to 5000 employees,2003,Company - Corporation (C Corp),Conglomerate,Conglomerate,Sinar Mas Group,6806,81686,"Seeking a Technical Project Manager proficient in Technical Background, Project Management, Leadership. Responsibilities include Work with cross-functional teams, Communicate with stakeholders, Manage project timelines."
Web Developer,2.9,Alfamart,Lhokseumawe,Yogyakarta,5001 to 10000 employees,2009,Company - Cooperative,Retail,Retail,"Matahari Department Store, Indomaret",4133,69897,"We need a Web Developer proficient in React, CSS, JavaScript. Responsibilities: Optimize web applications, Collaborate with designers, Ensure website performance."
Full-stack Developer,4.0,Sinar Mas Group,Sabang,Bandung,10001+ employees,1995,Company - Public,Conglomerate,Conglomerate,Lippo Group,1459,28105,"We need a Full-stack Developer with skills in React, JavaScript, CSS. Main tasks: Optimize full-stack applications, Collaborate with designers and developers, Work with HTML, CSS, JavaScript, and server-side languages."
Scrum Master,3.2,Alfamart,Tasikmalaya,Yogyakarta,5001 to 10000 employees,2009,Company - Cooperative,Retail,Retail,"Matahari Department Store, Indomaret",6125,69897,"We are looking for a Scrum Master skilled in Project Management, Team Collaboration, Facilitation. Responsibilities include Communicate with stakeholders, Ensure team productivity, Support agile teams."
Data Analyst,2.7,PT Telkom Indonesia,Tual,Medan,5001 to 10000 employees,1993,Company - Sole Proprietorship,Telecommunications,Telecommunications,"XL Axiata, Indosat Ooredoo, Telekomunikasi Selular (Telkomsel)",165,2421,"Seeking a Data Analyst proficient in Tableau, SQL, Power BI. Responsibilities include Create reports and dashboards, Support data-driven decision making, Analyze business data."
AI Research Scientist,2.8,Traveloka,Jayapura,Surabaya,5001 to 10000 employees,2003,Company - Sole Proprietorship,E-commerce,Technology,"GoJek, Tokopedia, Bukalapak",3780,56985,"We need an AI Research Scientist with skills in AI, Python, Research. Main tasks: Collaborate with other researchers, Conduct AI research, Develop new AI algorithms."
Computer Vision Engineer,3.2,Kalbe Farma,Bontang,Jakarta,10001+ employees,2008,Company - S Corporation (S Corp),Pharmaceuticals,Healthcare,,5675,67133,"We are looking for a Computer Vision Engineer skilled in Deep Learning, Image Processing, Computer Vision. Responsibilities include Work with image data, Develop computer vision models, Use OpenCV and TensorFlow."
Front-end Developer,4.5,Astra International,Padang,Padang,1001 to 5000 employees,2002,Company - Government,Automotive,Transportation,"Blue Bird Group, Garuda Indonesia",1887,27435,"Seeking a Front-end Developer with skills in HTML, JavaScript, CSS. Responsibilities: Develop user interfaces, Work with HTML, CSS, and JavaScript, Collaborate with back-end developers."
Full-stack Developer,4.0,Gudang Garam,Samarinda,Medan,1001 to 5000 employees,2000,Company - Limited Liability Company (LLC),Tobacco,Consumer Goods,"Indofood, Unilever Indonesia, Sampoerna",3380,49935,"We need a Full-stack Developer with skills in Node.js, JavaScript, HTML. Main tasks: Ensure full-stack performance, Work with HTML, CSS, JavaScript, and server-side languages, Optimize full-stack applications."
AI Research Scientist,3.6,Bank Central Asia (BCA),Pangkal Pinang,Jakarta,5001 to 10000 employees,2006,Company - Government,Banking,Finance,"Bank Negara Indonesia (BNI), Bank Rakyat Indonesia (BRI), Bank Mandiri",1605,31814,"We need an AI Research Scientist with skills in Machine Learning, Python, Algorithms. Main tasks: Conduct AI research, Develop new AI algorithms, Collaborate with other researchers."
Web Developer,3.9,Gudang Garam,Mojokerto,Medan,1001 to 5000 employees,2000,Company - Limited Liability Company (LLC),Tobacco,Consumer Goods,"Sampoerna, Unilever Indonesia, Indofood",4138,49935,"We need a Web Developer proficient in React, JavaScript, Node.js. Responsibilities: Develop and maintain websites, Optimize web applications, Work with HTML, CSS, and JavaScript."
Scrum Master,3.1,Astra International,Tanjungpinang,Padang,1001 to 5000 employees,2002,Company - Government,Automotive,Transportation,"Garuda Indonesia, Blue Bird Group",1657,27435,"We are looking for a Scrum Master skilled in Facilitation, Scrum, Project Management. Responsibilities include Communicate with stakeholders, Support agile teams, Remove obstacles."
Business Intelligence Analyst,2.9,XL Axiata,Ternate,Bandung,5001 to 10000 employees,1992,Company - Non-profit,Telecommunications,Telecommunications,"PT Telkom Indonesia, Indosat Ooredoo, Telekomunikasi Selular (Telkomsel)",4825,69716,"We need a Business Intelligence Analyst with skills in Analytics, SQL, BI Tools. Main tasks: Provide actionable insights, Analyze data trends, Develop BI solutions."
Web Developer,2.9,Bukalapak,Jambi,Padang,5001 to 10000 employees,1992,Company - Government,E-commerce,Technology,"Tokopedia, Traveloka, GoJek",1214,14695,"We need a Web Developer proficient in HTML, Node.js, React. Responsibilities: Develop and maintain websites, Ensure website performance, Work with HTML, CSS, and JavaScript."
Graphic Designer,3.4,Bumi Resources,Solok,Medan,1001 to 5000 employees,2001,Company - Holding,Mining,Energy,"Pertamina, PLN (Perusahaan Listrik Negara)",2926,55999,"Seeking a Graphic Designer proficient in Illustrator, Graphic Design, Creativity. Responsibilities: Work with design tools, Collaborate with marketing teams, Create visual designs."
Data Engineer,3.0,Tokopedia,Kediri,Jakarta,10001+ employees,1995,Company - Cooperative,E-commerce,Technology,"Traveloka, GoJek, Bukalapak",249,3915,"Hiring a Data Engineer experienced with Python, ETL, Hadoop. You will be responsible for Collaborate with data scientists, Develop ETL processes, Build and maintain data pipelines."
