Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Competitors,Average Salary,Average Revenue,Processed_JD
Data Scientist,4.6,XL Axiata,"Yogyakarta, Indonesia","Bali, Indonesia",10001+ employees,2013,Company - Private,Information Technology,Technology,None,111.6,92.3,"We are looking for a Data Scientist to join our team. Requirements: Experience in Machine Learning, Python, Data Analysis. Responsibilities: Work with large datasets, Communicate findings to stakeholders, Develop predictive models."
Back-end Developer,4.1,Bumi Resources,"Bali, Indonesia","Bali, Indonesia",1001 to 5000 employees,2012,Company - Private,Information Technology,Technology,-1,60.3,24.2,"Hiring a Back-end Developer experienced with APIs, Java, SQL. Responsibilities: Collaborate with front-end developers, Develop server-side logic, Work with databases."
Interaction Designer,3.3,Garuda Indonesia,"Bali, Indonesia","Bandung, Indonesia",1001 to 5000 employees,2009,Company - Private,Software,Business Services,-1,127.5,86.0,"We are looking for an Interaction Designer skilled in User Testing, Adobe XD, Prototyping. Responsibilities include Ensure interaction quality, Create prototypes, Design interactive experiences."
Brand Designer,3.1,Ciputra Development,"Jakarta, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2009,Company - Private,Information Technology,Business Services,-1,99.2,83.4,"Hiring a Brand Designer proficient in Adobe Creative Suite, Creativity, Visual Design. Responsibilities: Create visual identities, Develop branding materials, Collaborate with marketing teams."
Back-end Developer,2.9,Indosat Ooredoo,"Jakarta, Indonesia","Bandung, Indonesia",1001 to 5000 employees,2011,Company - Public,E-commerce,Technology,-1,114.4,30.1,"Hiring a Back-end Developer experienced with Java, Python, Node.js. Responsibilities: Develop server-side logic, Work with databases, Collaborate with front-end developers."
Technical Project Manager,3.9,Lippo Group,"Yogyakarta, Indonesia","Jakarta, Indonesia",5001 to 10000 employees,2011,Company - Public,Software,Technology,None,149.9,60.6,"Seeking a Technical Project Manager proficient in Project Management, Technical Background, Leadership. Responsibilities include Manage technical projects, Manage project timelines, Communicate with stakeholders."
Machine Learning Engineer,3.8,Bank Rakyat Indonesia (BRI)Bank Mandiri,"Jakarta, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2011,Company - Private,Information Technology,Technology,-1,70.4,93.0,"Join our team as a Machine Learning Engineer. Skills required: NLP, Python, Scikit-Learn. Responsibilities: Work with TensorFlow and PyTorch, Optimize ML algorithms, Collaborate with data scientists."
Front-end Developer,4.1,Sinar Mas Group,"Yogyakarta, Indonesia","Yogyakarta, Indonesia",1001 to 5000 employees,2013,Company - Private,Software,Business Services,-1,78.8,58.4,"Seeking a Front-end Developer with skills in React, CSS, HTML. Responsibilities: Ensure responsive design, Work with HTML, CSS, and JavaScript, Develop user interfaces."
Big Data Specialist,4.3,GoJek,"Jakarta, Indonesia","Bali, Indonesia",5001 to 10000 employees,2011,Company - Public,Information Technology,Technology,None,141.1,53.6,"We are looking for a Big Data Specialist skilled in NoSQL, Hadoop, Spark. Responsibilities include Ensure data scalability, Manage and analyze large datasets, Develop big data solutions."
Computer Vision Engineer,3.1,Bumi Resources,"Bandung, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2013,Company - Public,Software,Business Services,None,95.9,21.2,"We are looking for a Computer Vision Engineer skilled in Python, Image Processing, Computer Vision. Responsibilities include Optimize image processing algorithms, Develop computer vision models, Use OpenCV and TensorFlow."
Web Developer,3.0,Pertamina,"Surabaya, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2013,Company - Private,Information Technology,Business Services,-1,137.1,37.9,"We need a Web Developer proficient in CSS, React, Node.js. Responsibilities: Ensure website performance, Collaborate with designers, Develop and maintain websites."
Brand Designer,3.2,PLN (Perusahaan Listrik Negara),"Bandung, Indonesia","Bali, Indonesia",10001+ employees,2011,Company - Public,E-commerce,Technology,-1,74.7,90.6,"Hiring a Brand Designer proficient in Creativity, Visual Design, Graphic Design. Responsibilities: Collaborate with marketing teams, Create visual identities, Develop branding materials."
IT Project Manager,4.0,Ciputra Development,"Jakarta, Indonesia","Bandung, Indonesia",10001+ employees,2010,Company - Public,E-commerce,Technology,None,84.8,24.1,"Join our team as an IT Project Manager. Skills required: Scrum, Agile, Leadership. Responsibilities: Manage IT projects, Work with IT teams, Manage project budgets."
Full-stack Developer,3.9,Ciputra Development,"Surabaya, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2011,Company - Public,E-commerce,Technology,-1,65.0,83.5,"We need a Full-stack Developer with skills in CSS, React, Node.js. Main tasks: Work with HTML, CSS, JavaScript, and server-side languages, Ensure full-stack performance, Optimize full-stack applications."
Robotics Engineer,4.9,PLN (Perusahaan Listrik Negara),"Surabaya, Indonesia","Yogyakarta, Indonesia",10001+ employees,2009,Company - Private,Software,Technology,-1,118.9,26.1,"Seeking a Robotics Engineer proficient in Robotics, C++, Python. Responsibilities include Develop robotics solutions, Test and optimize robotics algorithms, Work with control systems."
Research Scientist,4.3,GoJek,"Bandung, Indonesia","Jakarta, Indonesia",5001 to 10000 employees,2013,Company - Private,Information Technology,Technology,-1,104.0,99.1,"Join us as a Research Scientist. Required skills: R, Data Analysis, Machine Learning. Duties: Collaborate with other scientists, Analyze experimental data, Develop new methodologies."
Robotics Engineer,4.1,Bukalapak,"Surabaya, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2013,Company - Private,Software,Business Services,None,149.3,65.1,"Seeking a Robotics Engineer proficient in Python, ROS, Control Systems. Responsibilities include Program robots, Work with control systems, Test and optimize robotics algorithms."
Front-end Developer,2.7,Matahari Department Store,"Bali, Indonesia","Jakarta, Indonesia",10001+ employees,2009,Company - Private,E-commerce,Technology,-1,56.2,40.8,"Seeking a Front-end Developer with skills in CSS, React, JavaScript. Responsibilities: Collaborate with back-end developers, Optimize front-end performance, Develop user interfaces."
Machine Learning Engineer,2.7,Indofood,"Bandung, Indonesia","Bali, Indonesia",5001 to 10000 employees,2011,Company - Public,E-commerce,Technology,-1,113.0,22.0,"Join our team as a Machine Learning Engineer. Skills required: Python, NLP, Deep Learning. Responsibilities: Develop machine learning models, Deploy ML solutions, Collaborate with data scientists."
Back-end Developer,4.7,Sinar Mas Group,"Bandung, Indonesia","Yogyakarta, Indonesia",10001+ employees,2011,Company - Private,Information Technology,Technology,-1,96.6,87.0,"Hiring a Back-end Developer experienced with SQL, Java, Node.js. Responsibilities: Optimize server-side code, Work with databases, Develop server-side logic."
Computer Vision Engineer,2.7,Bank Central Asia (BCA),"Jakarta, Indonesia","Bandung, Indonesia",10001+ employees,2012,Company - Public,E-commerce,Technology,-1,100.2,98.3,"We are looking for a Computer Vision Engineer skilled in Python, Image Processing, OpenCV. Responsibilities include Work with image data, Collaborate with data scientists, Use OpenCV and TensorFlow."
Reinforcement Learning Specialist,3.2,Telekomunikasi Selular (Telkomsel),"Bandung, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2009,Company - Private,E-commerce,Business Services,-1,60.1,100.0,"Join our team as a Reinforcement Learning Specialist. Skills required: Python, TensorFlow, Reinforcement Learning. Responsibilities: Develop RL models, Conduct experiments, Collaborate with data scientists."
Robotics Engineer,4.2,Lippo Group,"Yogyakarta, Indonesia","Bali, Indonesia",5001 to 10000 employees,2013,Company - Private,E-commerce,Business Services,-1,106.7,53.0,"Seeking a Robotics Engineer proficient in Control Systems, Python, ROS. Responsibilities include Program robots, Test and optimize robotics algorithms, Work with control systems."
UI/UX Developer,3.2,Gudang Garam,"Jakarta, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2009,Company - Public,E-commerce,Business Services,-1,108.2,84.0,"Join us as a UI/UX Developer. Required skills: Sketch, UI Design, Prototyping. Duties: Create prototypes, Conduct user research, Collaborate with developers."
Machine Learning Engineer,2.6,Astra International,"Yogyakarta, Indonesia","Bandung, Indonesia",10001+ employees,2012,Company - Public,E-commerce,Technology,None,123.0,35.4,"Join our team as a Machine Learning Engineer. Skills required: NLP, TensorFlow, Scikit-Learn. Responsibilities: Optimize ML algorithms, Develop machine learning models, Collaborate with data scientists."
Front-end Developer,2.9,Traveloka,"Bandung, Indonesia","Jakarta, Indonesia",10001+ employees,2010,Company - Private,Software,Business Services,-1,88.7,75.9,"Seeking a Front-end Developer with skills in React, CSS, JavaScript. Responsibilities: Ensure responsive design, Work with HTML, CSS, and JavaScript, Develop user interfaces."
Brand Designer,2.6,Lippo Group,"Bandung, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2010,Company - Private,Software,Business Services,-1,84.9,65.0,"Hiring a Brand Designer proficient in Adobe Creative Suite, Creativity, Brand Strategy. Responsibilities: Collaborate with marketing teams, Develop branding materials, Create visual identities."
Data Analyst,2.8,Kalbe Farma,"Bali, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2009,Company - Private,E-commerce,Business Services,-1,143.8,68.6,"Seeking a Data Analyst proficient in Data Visualization, SQL, Excel. Responsibilities include Support data-driven decision making, Analyze business data, Identify trends and patterns."
Full-stack Developer,4.8,PT Telkom Indonesia,"Yogyakarta, Indonesia","Bali, Indonesia",10001+ employees,2013,Company - Private,E-commerce,Business Services,-1,118.5,81.2,"We need a Full-stack Developer with skills in CSS, HTML, JavaScript. Main tasks: Work with HTML, CSS, JavaScript, and server-side languages, Ensure full-stack performance, Develop both front-end and back-end."
Machine Learning Engineer,2.9,Blue Bird Group,"Jakarta, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2011,Company - Public,Software,Business Services,-1,55.2,32.4,"Join our team as a Machine Learning Engineer. Skills required: Deep Learning, Scikit-Learn, TensorFlow. Responsibilities: Work with TensorFlow and PyTorch, Optimize ML algorithms, Collaborate with data scientists."
Scrum Master,3.6,Lippo Group,"Bali, Indonesia","Bali, Indonesia",5001 to 10000 employees,2012,Company - Public,Software,Technology,-1,101.7,17.8,"We are looking for a Scrum Master skilled in Facilitation, Team Collaboration, Project Management. Responsibilities include Support agile teams, Communicate with stakeholders, Ensure team productivity."
Research Scientist,2.6,Ciputra Development,"Jakarta, Indonesia","Yogyakarta, Indonesia",1001 to 5000 employees,2009,Company - Public,Software,Business Services,None,78.6,77.4,"Join us as a Research Scientist. Required skills: Statistics, Python, Machine Learning. Duties: Collaborate with other scientists, Conduct research and experiments, Publish research findings."
Interaction Designer,4.0,Unilever Indonesia,"Bandung, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2011,Company - Private,E-commerce,Technology,-1,118.8,91.9,"We are looking for an Interaction Designer skilled in Adobe XD, UI Design, Interaction Design. Responsibilities include Collaborate with developers, Work with design tools, Design interactive experiences."
Big Data Specialist,4.2,Garuda Indonesia,"Yogyakarta, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2010,Company - Private,Software,Technology,None,94.5,94.2,"We are looking for a Big Data Specialist skilled in Big Data, Hadoop, NoSQL. Responsibilities include Work with Hadoop and Spark, Collaborate with data engineers, Develop big data solutions."
Business Intelligence Analyst,4.3,Bumi Resources,"Yogyakarta, Indonesia","Bandung, Indonesia",1001 to 5000 employees,2011,Company - Private,Software,Business Services,None,108.8,70.1,"We need a Business Intelligence Analyst with skills in BI Tools, Analytics, Dashboarding. Main tasks: Create and maintain dashboards, Provide actionable insights, Work with business stakeholders."
Agile Project Manager,3.0,Bank Rakyat Indonesia (BRI)Bank Mandiri,"Bandung, Indonesia","Bali, Indonesia",10001+ employees,2013,Company - Private,Software,Business Services,None,53.8,52.2,"We need an Agile Project Manager with skills in Agile, Communication, Project Management. Main tasks: Ensure project delivery, Collaborate with agile teams, Facilitate agile processes."
Graphic Designer,4.9,Telekomunikasi Selular (Telkomsel),"Bali, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2011,Company - Public,E-commerce,Technology,None,91.6,63.7,"Seeking a Graphic Designer proficient in InDesign, Graphic Design, Adobe Photoshop. Responsibilities: Collaborate with marketing teams, Work with design tools, Create visual designs."
Graphic Designer,3.7,Matahari Department Store,"Bali, Indonesia","Jakarta, Indonesia",10001+ employees,2009,Company - Public,Information Technology,Technology,-1,56.8,54.2,"Seeking a Graphic Designer proficient in InDesign, Adobe Photoshop, Graphic Design. Responsibilities: Work with design tools, Create visual designs, Develop branding materials."
Data Engineer,2.9,Blue Bird Group,"Yogyakarta, Indonesia","Jakarta, Indonesia",5001 to 10000 employees,2010,Company - Private,Information Technology,Technology,-1,76.5,29.9,"Hiring a Data Engineer experienced with Big Data, SQL, ETL. You will be responsible for Collaborate with data scientists, Work with big data technologies, Build and maintain data pipelines."
Agile Project Manager,3.3,Matahari Department Store,"Bandung, Indonesia","Jakarta, Indonesia",5001 to 10000 employees,2010,Company - Public,E-commerce,Technology,-1,135.8,61.0,"We need an Agile Project Manager with skills in Scrum, Project Management, Agile. Main tasks: Communicate with stakeholders, Facilitate agile processes, Collaborate with agile teams."
Graphic Designer,4.1,Pertamina,"Surabaya, Indonesia","Yogyakarta, Indonesia",10001+ employees,2012,Company - Private,E-commerce,Business Services,-1,144.9,96.9,"Seeking a Graphic Designer proficient in Illustrator, Graphic Design, Creativity. Responsibilities: Create visual designs, Ensure design quality, Work with design tools."
Data Scientist,3.4,Bank Rakyat Indonesia (BRI)Bank Mandiri,"Bandung, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2010,Company - Private,E-commerce,Technology,-1,100.4,99.3,"We are looking for a Data Scientist to join our team. Requirements: Experience in Data Analysis, R, SQL. Responsibilities: Work with large datasets, Analyze data to drive insights, Develop predictive models."
Data Scientist,3.3,Bank Central Asia (BCA),"Jakarta, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2013,Company - Private,Software,Business Services,-1,65.5,69.4,"We are looking for a Data Scientist to join our team. Requirements: Experience in Machine Learning, SQL, Python. Responsibilities: Communicate findings to stakeholders, Analyze data to drive insights, Develop predictive models."
Product Manager,3.2,Sampoerna,"Bali, Indonesia","Jakarta, Indonesia",10001+ employees,2013,Company - Public,Software,Business Services,None,58.9,28.4,"Hiring a Product Manager experienced with Leadership, Scrum, Product Development. You will be responsible for Define product vision, Work with cross-functional teams, Manage product lifecycle."
AI Research Scientist,3.1,Tokopedia,"Yogyakarta, Indonesia","Surabaya, Indonesia",1001 to 5000 employees,2009,Company - Private,E-commerce,Business Services,None,72.4,42.4,"We need an AI Research Scientist with skills in AI, Python, Algorithms. Main tasks: Analyze experimental results, Conduct AI research, Develop new AI algorithms."
Data Analyst,3.4,Ciputra Development,"Surabaya, Indonesia","Bandung, Indonesia",10001+ employees,2012,Company - Private,Software,Technology,None,127.9,27.0,"Seeking a Data Analyst proficient in Data Visualization, Power BI, Excel. Responsibilities include Analyze business data, Work with SQL and Excel, Identify trends and patterns."
Interaction Designer,3.0,PLN (Perusahaan Listrik Negara),"Surabaya, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2012,Company - Public,E-commerce,Business Services,-1,62.8,40.5,"We are looking for an Interaction Designer skilled in UI Design, Interaction Design, Prototyping. Responsibilities include Collaborate with developers, Ensure interaction quality, Work with design tools."
JavaScript Developer,3.5,Traveloka,"Bandung, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2010,Company - Public,Information Technology,Business Services,-1,124.0,40.6,"Hiring a JavaScript Developer proficient in Node.js, Angular, JavaScript. Responsibilities: Work with frameworks like React and Node.js, Optimize JavaScript performance, Ensure code quality."
Scrum Master,5.0,PLN (Perusahaan Listrik Negara),"Jakarta, Indonesia","Surabaya, Indonesia",10001+ employees,2009,Company - Private,Software,Business Services,None,127.8,38.8,"We are looking for a Scrum Master skilled in Scrum, Facilitation, Agile. Responsibilities include Communicate with stakeholders, Facilitate scrum processes, Support agile teams."
IT Project Manager,2.9,Indomaret,"Surabaya, Indonesia","Bali, Indonesia",10001+ employees,2010,Company - Private,Software,Technology,None,112.7,100.0,"Join our team as an IT Project Manager. Skills required: Leadership, Scrum, Technical Background. Responsibilities: Ensure project success, Work with IT teams, Communicate with stakeholders."
Data Mining Engineer,4.6,Bank Central Asia (BCA),"Bandung, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2012,Company - Public,Information Technology,Business Services,-1,104.1,48.4,"Seeking a Data Mining Engineer proficient in Python, SQL, Algorithms. Responsibilities include Optimize algorithms, Analyze large datasets, Provide actionable insights."
Program Manager,3.9,Kalbe Farma,"Bandung, Indonesia","Bali, Indonesia",1001 to 5000 employees,2012,Company - Public,Software,Technology,-1,86.3,39.8,"Join us as a Program Manager. Required skills: Communication, Program Management, Agile. Duties: Communicate with stakeholders, Manage programs, Ensure program delivery."
IT Project Manager,4.9,Garuda Indonesia,"Yogyakarta, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2009,Company - Private,Software,Technology,-1,131.8,59.0,"Join our team as an IT Project Manager. Skills required: Leadership, Technical Background, IT Project Management. Responsibilities: Communicate with stakeholders, Manage IT projects, Work with IT teams."
Research Scientist,4.5,Lippo Group,"Surabaya, Indonesia","Bali, Indonesia",1001 to 5000 employees,2009,Company - Public,Information Technology,Technology,None,74.3,27.6,"Join us as a Research Scientist. Required skills: Statistics, Machine Learning, R. Duties: Publish research findings, Conduct research and experiments, Collaborate with other scientists."
AI Research Scientist,3.6,Bank Negara Indonesia (BNI),"Yogyakarta, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2009,Company - Private,Software,Business Services,None,59.6,15.0,"We need an AI Research Scientist with skills in AI, Python, Algorithms. Main tasks: Analyze experimental results, Develop new AI algorithms, Publish research papers."
UI/UX Developer,4.7,Traveloka,"Surabaya, Indonesia","Bandung, Indonesia",10001+ employees,2012,Company - Private,Software,Business Services,None,126.8,20.3,"Join us as a UI/UX Developer. Required skills: Sketch, Adobe XD, UI Design. Duties: Conduct user research, Design user interfaces and experiences, Work with design tools."
Business Intelligence Analyst,3.5,Astra International,"Yogyakarta, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2010,Company - Private,Software,Technology,-1,104.7,57.2,"We need a Business Intelligence Analyst with skills in SQL, Dashboarding, Data Modeling. Main tasks: Create and maintain dashboards, Analyze data trends, Develop BI solutions."
UI/UX Developer,4.1,PLN (Perusahaan Listrik Negara),"Jakarta, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2013,Company - Private,E-commerce,Technology,-1,73.8,65.2,"Join us as a UI/UX Developer. Required skills: Prototyping, UI Design, Sketch. Duties: Create prototypes, Conduct user research, Work with design tools."
Web Application Developer,4.6,Sampoerna,"Surabaya, Indonesia","Bali, Indonesia",10001+ employees,2010,Company - Public,Software,Technology,None,132.9,60.1,"We are looking for a Web Application Developer skilled in HTML, JavaScript, Web Development. Responsibilities include Optimize web application performance, Ensure application security, Collaborate with designers."
AI Research Scientist,2.7,Bank Rakyat Indonesia (BRI)Bank Mandiri,"Surabaya, Indonesia","Yogyakarta, Indonesia",10001+ employees,2012,Company - Private,E-commerce,Business Services,-1,66.5,41.0,"We need an AI Research Scientist with skills in Machine Learning, Algorithms, Research. Main tasks: Analyze experimental results, Conduct AI research, Collaborate with other researchers."
Brand Designer,3.1,Unilever Indonesia,"Bali, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2013,Company - Private,E-commerce,Business Services,None,143.7,43.4,"Hiring a Brand Designer proficient in Visual Design, Brand Strategy, Graphic Design. Responsibilities: Collaborate with marketing teams, Ensure brand consistency, Work with design tools."
Motion Graphics Designer,4.2,Lippo Group,"Bali, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2010,Company - Private,Software,Business Services,-1,126.5,78.3,"Join us as a Motion Graphics Designer. Required skills: Creativity, Motion Graphics, Cinema 4D. Duties: Ensure animation quality, Collaborate with video production teams, Develop visual content."
UX Designer,3.2,Ciputra Development,"Surabaya, Indonesia","Bali, Indonesia",1001 to 5000 employees,2011,Company - Private,Information Technology,Technology,None,63.6,64.6,"We need a UX Designer with skills in Adobe XD, Wireframing, UX Research. Main tasks: Ensure usability, Create wireframes and prototypes, Design user experiences."
Computer Vision Engineer,4.1,Sampoerna,"Surabaya, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2012,Company - Private,Information Technology,Business Services,None,136.1,31.7,"We are looking for a Computer Vision Engineer skilled in Deep Learning, Python, OpenCV. Responsibilities include Use OpenCV and TensorFlow, Optimize image processing algorithms, Collaborate with data scientists."
Data Engineer,2.8,Indomaret,"Jakarta, Indonesia","Yogyakarta, Indonesia",10001+ employees,2012,Company - Public,Software,Business Services,-1,101.3,64.4,"Hiring a Data Engineer experienced with SQL, Python, ETL. You will be responsible for Work with big data technologies, Collaborate with data scientists, Ensure data quality and integrity."
Robotics Engineer,4.9,Blue Bird Group,"Yogyakarta, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2011,Company - Private,Software,Business Services,-1,131.8,86.8,"Seeking a Robotics Engineer proficient in Python, Robotics, Control Systems. Responsibilities include Develop robotics solutions, Collaborate with other engineers, Test and optimize robotics algorithms."
Data Mining Engineer,3.8,Traveloka,"Surabaya, Indonesia","Bandung, Indonesia",10001+ employees,2010,Company - Public,Information Technology,Business Services,-1,123.2,69.6,"Seeking a Data Mining Engineer proficient in R, Python, Data Mining. Responsibilities include Provide actionable insights, Optimize algorithms, Analyze large datasets."
UI Designer,3.7,Tokopedia,"Surabaya, Indonesia","Yogyakarta, Indonesia",1001 to 5000 employees,2009,Company - Private,Software,Technology,-1,99.2,56.7,"Hiring a UI Designer experienced with Figma, UI Design, Prototyping. Responsibilities: Design user interfaces, Ensure design consistency, Create prototypes."
IT Project Manager,3.9,PT Telkom Indonesia,"Bandung, Indonesia","Bali, Indonesia",1001 to 5000 employees,2011,Company - Public,Information Technology,Technology,None,138.7,15.4,"Join our team as an IT Project Manager. Skills required: Leadership, Scrum, IT Project Management. Responsibilities: Work with IT teams, Manage project budgets, Communicate with stakeholders."
Brand Designer,4.9,Blue Bird Group,"Yogyakarta, Indonesia","Bali, Indonesia",1001 to 5000 employees,2009,Company - Public,E-commerce,Business Services,-1,61.4,38.8,"Hiring a Brand Designer proficient in Adobe Creative Suite, Creativity, Graphic Design. Responsibilities: Create visual identities, Work with design tools, Ensure brand consistency."
Motion Graphics Designer,3.8,PT Telkom Indonesia,"Jakarta, Indonesia","Bali, Indonesia",5001 to 10000 employees,2013,Company - Public,E-commerce,Technology,None,52.8,17.9,"Join us as a Motion Graphics Designer. Required skills: Motion Graphics, Cinema 4D, Animation. Duties: Collaborate with video production teams, Work with animation tools, Create motion graphics."
Technical Project Manager,2.6,XL Axiata,"Jakarta, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2009,Company - Private,Software,Business Services,None,135.7,19.3,"Seeking a Technical Project Manager proficient in Technical Background, Project Management, Agile. Responsibilities include Manage technical projects, Manage project timelines, Work with cross-functional teams."
Big Data Specialist,3.0,Telekomunikasi Selular (Telkomsel),"Bali, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2012,Company - Public,Information Technology,Business Services,None,139.6,69.0,"We are looking for a Big Data Specialist skilled in NoSQL, Python, Hadoop. Responsibilities include Ensure data scalability, Collaborate with data engineers, Work with Hadoop and Spark."
Data Engineer,3.0,Matahari Department Store,"Bali, Indonesia","Jakarta, Indonesia",5001 to 10000 employees,2010,Company - Public,E-commerce,Business Services,None,111.9,51.5,"Hiring a Data Engineer experienced with SQL, Hadoop, Python. You will be responsible for Collaborate with data scientists, Ensure data quality and integrity, Build and maintain data pipelines."
Deep Learning Engineer,4.6,Lippo Group,"Jakarta, Indonesia","Yogyakarta, Indonesia",10001+ employees,2011,Company - Private,E-commerce,Business Services,None,83.8,44.8,"Hiring a Deep Learning Engineer experienced with Neural Networks, Keras, Python. You will be responsible for Optimize neural networks, Work with TensorFlow and Keras, Collaborate with data scientists."
Agile Project Manager,5.0,Bank Negara Indonesia (BNI),"Surabaya, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2009,Company - Private,E-commerce,Technology,-1,127.7,32.9,"We need an Agile Project Manager with skills in Leadership, Agile, Scrum. Main tasks: Manage agile projects, Ensure project delivery, Facilitate agile processes."
NLP Engineer (Natural Language Processing),3.9,Astra International,"Surabaya, Indonesia","Surabaya, Indonesia",10001+ employees,2010,Company - Public,E-commerce,Technology,-1,50.4,54.7,"Join us as an NLP Engineer. Required skills: Text Mining, SpaCy, Python. Duties: Develop NLP models, Deploy NLP solutions, Work with text data."
Computer Vision Engineer,4.9,PLN (Perusahaan Listrik Negara),"Surabaya, Indonesia","Bandung, Indonesia",1001 to 5000 employees,2011,Company - Private,Information Technology,Business Services,-1,50.8,98.0,"We are looking for a Computer Vision Engineer skilled in OpenCV, Python, Computer Vision. Responsibilities include Work with image data, Develop computer vision models, Use OpenCV and TensorFlow."
Data Scientist,2.6,Ciputra Development,"Jakarta, Indonesia","Bali, Indonesia",10001+ employees,2011,Company - Public,Information Technology,Business Services,-1,148.1,23.4,"We are looking for a Data Scientist to join our team. Requirements: Experience in R, Python, Machine Learning. Responsibilities: Communicate findings to stakeholders, Work with large datasets, Collaborate with cross-functional teams."
Motion Graphics Designer,4.1,Telekomunikasi Selular (Telkomsel),"Jakarta, Indonesia","Yogyakarta, Indonesia",1001 to 5000 employees,2012,Company - Public,Software,Business Services,None,135.4,86.7,"Join us as a Motion Graphics Designer. Required skills: Motion Graphics, Cinema 4D, After Effects. Duties: Work with animation tools, Ensure animation quality, Create motion graphics."
Back-end Developer,3.4,Matahari Department Store,"Bali, Indonesia","Bali, Indonesia",1001 to 5000 employees,2010,Company - Private,E-commerce,Business Services,-1,64.0,71.8,"Hiring a Back-end Developer experienced with SQL, Java, APIs. Responsibilities: Optimize server-side code, Collaborate with front-end developers, Ensure application performance."
Data Engineer,4.7,GoJek,"Jakarta, Indonesia","Bandung, Indonesia",10001+ employees,2009,Company - Public,Software,Technology,None,118.5,36.2,"Hiring a Data Engineer experienced with ETL, Python, Hadoop. You will be responsible for Develop ETL processes, Ensure data quality and integrity, Collaborate with data scientists."
IT Project Manager,4.3,PT Telkom Indonesia,"Yogyakarta, Indonesia","Yogyakarta, Indonesia",1001 to 5000 employees,2012,Company - Private,Information Technology,Technology,None,108.8,67.4,"Join our team as an IT Project Manager. Skills required: Leadership, Scrum, Agile. Responsibilities: Manage project budgets, Work with IT teams, Ensure project success."
Program Manager,4.8,Telekomunikasi Selular (Telkomsel),"Surabaya, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2010,Company - Public,Information Technology,Business Services,None,87.6,37.6,"Join us as a Program Manager. Required skills: Communication, Leadership, Scrum. Duties: Manage program budgets, Ensure program delivery, Communicate with stakeholders."
Business Intelligence Analyst,2.8,Matahari Department Store,"Jakarta, Indonesia","Bandung, Indonesia",10001+ employees,2012,Company - Public,Information Technology,Technology,None,82.0,82.9,"We need a Business Intelligence Analyst with skills in BI Tools, Analytics, Dashboarding. Main tasks: Provide actionable insights, Analyze data trends, Create and maintain dashboards."
IT Project Manager,4.1,Bukalapak,"Surabaya, Indonesia","Surabaya, Indonesia",1001 to 5000 employees,2012,Company - Public,E-commerce,Business Services,None,67.1,55.8,"Join our team as an IT Project Manager. Skills required: IT Project Management, Agile, Leadership. Responsibilities: Work with IT teams, Manage IT projects, Manage project budgets."
UX Designer,4.1,Garuda Indonesia,"Jakarta, Indonesia","Bali, Indonesia",10001+ employees,2010,Company - Public,Software,Technology,None,54.6,72.7,"We need a UX Designer with skills in Wireframing, UX Research, Prototyping. Main tasks: Design user experiences, Ensure usability, Collaborate with developers."
AI Research Scientist,3.2,Garuda Indonesia,"Bandung, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2009,Company - Private,Information Technology,Technology,None,87.4,56.7,"We need an AI Research Scientist with skills in Research, AI, Machine Learning. Main tasks: Conduct AI research, Develop new AI algorithms, Collaborate with other researchers."
